##########################################################################
# Copyright: (c) 2013   Mayo Foundation for Medical Education and 
# Research (MFMER). All rights reserved. MAYO, MAYO CLINIC, and the
# triple-shield Mayo logo are trademarks and service marks of MFMER.
#
# Except as contained in the copyright notice above, or as used to identify 
# MFMER as the author of this software, the trade names, trademarks, service
# marks, or product names of the copyright holder shall not be used in
# advertising, promotion or otherwise in connection with this software without
# prior written authorization of the copyright holder.
# 
# Licensed under the Apache License, Version 2.0 (the "License");
# you may not use this file except in compliance with the License.
# You may obtain a copy of the License at
# 
# http://www.apache.org/licenses/LICENSE-2.0 
# 
# Unless required by applicable law or agreed to in writing, software
# distributed under the License is distributed on an "AS IS" BASIS,
# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
# See the License for the specific language governing permissions and 
# limitations under the License. 
################################################################################
# Adopt SecTag
medication ( s ) on discharge	5.37.106.125	discharge_medications
allergies/adverse reactions	5.38	allergies_and_adverse_reactions
allergies/immunology	5.34.79.103.66	immunologic_family_history
allergies/immunology	5.39.125	immunologic_review
allergies_and_adverse_reactions	5.38	allergies_and_adverse_reactions
allergies_course	5.32.77.83	allergies_course
allergies_family_history	5.34.79.103.67	allergies_family_history
allergy	5.38	allergies_and_adverse_reactions
allergy	5.32.77.83	allergies_course
allergy	5.34.79.103.67	allergies_family_history
allergy	5.39.127	allergy_review
allergy adverse reaction	5.38	allergies_and_adverse_reactions
allergy and adverse reaction	5.38	allergies_and_adverse_reactions
allergy course	5.32.77.83	allergies_course
allergy environmental allergen	5.38.110	environmental_allergies
allergy family history	5.34.79.103.67	allergies_family_history
allergy immunology	5.34.79.103.66	immunologic_family_history
allergy immunology	5.39.125	immunologic_review
allergy lym	5.39.127-13	allergy_lymphatic_review
allergy lymphatic	5.39.127-13	allergy_lymphatic_review
allergy symptom	5.34.79.103.67	allergies_family_history
allergy symptom	5.39.127	allergy_review
allergy symptoms	5.34.79.103.67	allergies_family_history
allergy symptoms	5.39.127	allergy_review
allergy to environmental allergen	5.38.110	environmental_allergies
allergy to environmental allergens	5.38.110	environmental_allergies
allergy/lym	5.39.127-13	allergy_lymphatic_review
allergy_lymphatic_review	5.39.127-13	allergy_lymphatic_review
allergy_review	5.39.127	allergy_review
alternative medicine	5.37.107.132	alternative_therapies
alternative therapies	5.37.107.132	alternative_therapies
alternative therapy	5.37.107.132	alternative_therapies
alternative_therapies	5.37.107.132	alternative_therapies
anal	6.40.139.197.134	anal_exam
anal exam	6.40.139.197.134	anal_exam
anal examination	6.40.139.197.134	anal_exam
anal_exam	6.40.139.197.134	anal_exam
analysis	13.50	analysis
analysis admit problem	13.50	analysis
analysis identify problem	13.50	analysis
analysis of admit problem	13.50	analysis
analysis of admitting problems	13.50	analysis
analysis of identified problems	13.50	analysis
analysis of identify problem	13.50	analysis
analysis of problem	13.50	analysis
analysis problem	13.50	analysis
anatomic	6.40.139	anatomic_exam
anatomic exam	6.40.139	anatomic_exam
anatomic examination	6.40.139	anatomic_exam
anatomic_exam	6.40.139	anatomic_exam
anatomical	6.40.139	anatomic_exam
anatomical exam	6.40.139	anatomic_exam
anatomical examination	6.40.139	anatomic_exam
ancillary studies	6.41	laboratory_and_radiology_data
ancillary study	6.41	laboratory_and_radiology_data
anesthesia	15.61	anesthesia
anesthesia	13.51.156.274	anesthesia_plan
anesthesia history	5.35.84.106	past_anesthesia_history
anesthesia hx	5.35.84.106	past_anesthesia_history
anesthesia plan	13.51.156.274	anesthesia_plan
anesthesia_plan	13.51.156.274	anesthesia_plan
anesthesiologist	3.10.7.10	anesthesiologist
angiocardiography	6.41.149.234.162.169	angiocardiography
angiographic finding	6.41.149.234.162.179	angiography
angiographic findings	6.41.149.234.162.179	angiography
angiography	6.41.149.234.162.179	angiography
angioplasty lesion result	6.41.149.234.162.179	angiography
angioplasty lesion results	6.41.149.234.162.179	angiography
ankle	5.39.124.160.105.71	ankle_review
ankle	6.40.139.200.147.152	ankles_exam
ankle	13.51.157.292.202.208	ankles_plan
ankle course	5.32.77.81.23.14.18	ankle_course
ankle course	5.32.77.81.23.14.11	ankles_course
ankle exam	6.40.139.200.147.152	ankles_exam
ankle examination	6.40.139.200.147.152	ankles_exam
ankle plan	13.51.157.292.202.208	ankles_plan
ankle_course	5.32.77.81.23.14.18	ankle_course
ankle_review	5.39.124.160.105.71	ankle_review
ankles	5.39.124.160.105.71	ankle_review
ankles	6.40.139.200.147.152	ankles_exam
ankles	13.51.157.292.202.208	ankles_plan
ankles course	5.32.77.81.23.14.11	ankles_course
ankles exam	6.40.139.200.147.152	ankles_exam
ankles examination	6.40.139.200.147.152	ankles_exam
ankles plan	13.51.157.292.202.208	ankles_plan
ankles_course	5.32.77.81.23.14.11	ankles_course
ankles_exam	6.40.139.200.147.152	ankles_exam
ankles_plan	13.51.157.292.202.208	ankles_plan
anorectal	6.40.139.197	anorectal_exam
anorectal exam	6.40.139.197	anorectal_exam
anorectal examination	6.40.139.197	anorectal_exam
anorectal_exam	6.40.139.197	anorectal_exam
anoscopy	6.41.150.238.169	anoscopy
anterior cervical ln	6.40.139.193.123.89.46	anterior_cervical_ln_exam
anterior cervical ln exam	6.40.139.193.123.89.46	anterior_cervical_ln_exam
anterior cervical ln examination	6.40.139.193.123.89.46	anterior_cervical_ln_exam
anterior_cervical_ln_exam	6.40.139.193.123.89.46	anterior_cervical_ln_exam
antibiotic	5.37.107.131	antibiotics
antibiotics	5.37.107.131	antibiotics
anus	6.40.139.197.134	anal_exam
anus rectum	6.40.139.197	anorectal_exam
anus/rectum	6.40.139.197	anorectal_exam
apgar	6.40.138	apgar_score
apgar score	6.40.138	apgar_score
apgar_score	6.40.138	apgar_score
appearance	6.40.139.199.141.139.77.30...1	appearance
appearance	6.40.135	general_exam
appearance and interaction	6.40.139.199.141.139.77.30...1	appearance_interaction
appearance interaction	6.40.139.199.141.139.77.30...1	appearance_interaction
appearance_interaction	6.40.139.199.141.139.77.30...1	appearance_interaction
aps epidural_procedure_note	2.7.4	epidural_procedure_note
arm	5.32.77.81.23.14.16	arm_course
arm	5.39.124.160.105.76	arm_review
arm	6.40.139.202.149	upper_extremity_exam
arm	13.51.157.298.205	upper_extremity_plan
arm course	5.32.77.81.23.14.16	arm_course
arm_course	5.32.77.81.23.14.16	arm_course
arm_review	5.39.124.160.105.76	arm_review
arms	6.40.139.202.149	upper_extremity_exam
arms	13.51.157.298.205	upper_extremity_plan
arterial blood gas and ph	6.41.146.225	abg
arterial blood gas ph	6.41.146.225	abg
arterial blood gases and ph	6.41.146.225	abg
arthroscopy	6.41.150.243	arthroscopy
asa class	6.40.136.183	asa_class
asa_class	6.40.136.183	asa_class
ascitic fluid or peritoneal aspirate analysis	6.41.144.209	ascitic_fluid_or_peritoneal_aspirate_analysis
ascitic fluid peritoneal aspirate analysis	6.41.144.209	ascitic_fluid_or_peritoneal_aspirate_analysis
ascitic_fluid_or_peritoneal_aspirate_analysis	6.41.144.209	ascitic_fluid_or_peritoneal_aspirate_analysis
assessment	13.49	assessment
assessment and plan	13	assessment_and_plan
assessment and recommendation	13	assessment_and_plan
assessment and recommendations	13	assessment_and_plan
assessment plan	13	assessment_and_plan
assessment recommendation	13	assessment_and_plan
assessment/plan	13	assessment_and_plan
assessment_and_plan	13	assessment_and_plan
assistant	3.11.9	surgical_assistants
assistants	3.11.9	surgical_assistants
associate diagnose	5.22.40	secondary_diagnoses
associated diagnoses	5.22.40	secondary_diagnoses
associated diagnosis	5.22	diagnoses
associated diagnosis 	5.22	diagnoses
at - home medications	5.37	medications
atopy	5.32.77.83	allergies_course
atopy	5.34.79.103.67	allergies_family_history
atopy	5.39.127	allergy_review
attending	3.10.7.9	attending_physician
attending addendum	18.63	attending_addendum
attending admission confirmation note	2.3.3	attending_admission_confirmation_note
attending admission note	2.3.3	attending_admission_confirmation_note
attending attestation	21.66	attending_attestation
attending physician	3.10.7.9	attending_physician
attending physician attestation	21.66	attending_attestation
attending thoracic surgeon	5.15.32	admitting_attending
attending_addendum	18.63	attending_addendum
attending_admission_confirmation_note	2.3.3	attending_admission_confirmation_note
attending_attestation	21.66	attending_attestation
attending_physician	3.10.7.9	attending_physician
attention	6.40.139.199.139.124.58	attention_and_calculation
attention and calculation	6.40.139.199.139.124.58	attention_and_calculation
attention calculation	6.40.139.199.139.124.58	attention_and_calculation
attention_and_calculation	6.40.139.199.139.124.58	attention_and_calculation
attestation	21	attestation
auditory canal	6.40.139.191.120.82.41	auditory_canal
auditory_canal	6.40.139.191.120.82.41	auditory_canal
aunt	5.34.79.102.52	aunt_medical_history
aunt medical history	5.34.79.102.52	aunt_medical_history
aunt_medical_history	5.34.79.102.52	aunt_medical_history
aunts	5.34.79.102.52	aunt_medical_history
aura seizure history	5.35.98	seizure_history
auras/seizures history	5.35.98	seizure_history
auscultation abdomen	6.40.139.196.132.109	auscultation_abdomen
auscultation abdomen bowel sound	6.40.139.196.132.109.50	auscultation_abdomen_bowel_sounds
auscultation abdomen bowel sounds	6.40.139.196.132.109.50	auscultation_abdomen_bowel_sounds
auscultation abdomen bruit	6.40.139.196.132.109.49	auscultation_abdomen_for_bruits
auscultation abdomen for bruit	6.40.139.196.132.109.49	auscultation_abdomen_for_bruits
auscultation abdomen for bruits	6.40.139.196.132.109.49	auscultation_abdomen_for_bruits
auscultation chest	6.40.139.195.128.102	chest_ausculatation
auscultation chest cardiovascular	6.40.139.194.127	cv_auscultation
auscultation chest extracardiac bruit	6.40.139.194.127.99	extracardiac_bruits
auscultation chest extracardiac bruits	6.40.139.194.127.99	extracardiac_bruits
auscultation chest pulmonary	6.40.139.195.128.102	chest_ausculatation
auscultation heart murmur and rub	6.40.139.194.127.101	cardiac_murmurs
auscultation heart murmur rub	6.40.139.194.127.101	cardiac_murmurs
auscultation heart murmurs and rubs	6.40.139.194.127.101	cardiac_murmurs
auscultation heart s1 s2 click and gallop sound	6.40.139.194.127.100	cardiac_sounds
auscultation heart s1 s2 click gallop sound	6.40.139.194.127.100	cardiac_sounds
auscultation heart s1 s2 clicks and gallop sounds	6.40.139.194.127.100	cardiac_sounds
auscultation_abdomen	6.40.139.196.132.109	auscultation_abdomen
auscultation_abdomen_bowel_sounds	6.40.139.196.132.109.50	auscultation_abdomen_bowel_sounds
auscultation_abdomen_for_bruits	6.40.139.196.132.109.49	auscultation_abdomen_for_bruits
author	22	author
available lab and x ray result	6.41	laboratory_and_radiology_data
available lab and x ray results	6.41	laboratory_and_radiology_data
available lab and x-ray results	6.41	laboratory_and_radiology_data
available lab x ray result	6.41	laboratory_and_radiology_data
available pertinent laboratory & x- ray findings	6.41	laboratory_and_radiology_data
available pertinent laboratory & x-ray findings	6.41	laboratory_and_radiology_data
available pertinent laboratory x ray finding	6.41	laboratory_and_radiology_data
available pertinent laboratory x ray findings	6.41	laboratory_and_radiology_data
axilla	6.40.139.195.130.105	axilla_exam
axilla exam	6.40.139.195.130.105	axilla_exam
axilla examination	6.40.139.195.130.105	axilla_exam
axilla_exam	6.40.139.195.130.105	axilla_exam
axillae	6.40.139.195.130.105	axilla_exam
axillary ln	6.40.139.193.123.92	axillary_ln_exam
axillary ln exam	6.40.139.193.123.92	axillary_ln_exam
axillary ln examination	6.40.139.193.123.92	axillary_ln_exam
axillary_ln_exam	6.40.139.193.123.92	axillary_ln_exam
axis i	5.22.49.54	axis_i
axis ii	5.22.49.55	axis_ii
axis iii	5.22.49.56	axis_iii
axis iv	5.22.49.57	axis_iv
axis v	5.22.49.58	axis_v
axis_i	5.22.49.54	axis_i
axis_ii	5.22.49.55	axis_ii
axis_iii	5.22.49.56	axis_iii
axis_iv	5.22.49.57	axis_iv
axis_v	5.22.49.58	axis_v
back	6.40.139.200.144	back_exam
back	13.51.157.288.194	back_plan
back	5.39.120.141	back_review
back and spine exam	6.40.139.200.144	back_exam
back exam	6.40.139.200.144	back_exam
back examination	6.40.139.200.144	back_exam
back extremity	6.40.139.200.144-23	back_extremity_exam
back extremity exam	6.40.139.200.144-23	back_extremity_exam
back extremity examination	6.40.139.200.144-23	back_extremity_exam
back plan	13.51.157.288.194	back_plan
back spine exam	6.40.139.200.144	back_exam
back_exam	6.40.139.200.144	back_exam
back_extremity_exam	6.40.139.200.144-23	back_extremity_exam
back_plan	13.51.157.288.194	back_plan
back_review	5.39.120.141	back_review
ballard	6.40.137	ballard_exam
ballard exam	6.40.137	ballard_exam
ballard examination	6.40.137	ballard_exam
ballard_exam	6.40.137	ballard_exam
barium enema	6.41.149.234.162.171.104	barium_enema
barium swallow cine esophogram	6.41.149.234.162.171.101	barium_swallow_or_cine-esophogram
barium swallow or cine esophogram	6.41.149.234.162.171.101	barium_swallow_or_cine-esophogram
barium swallow or cine-esophogram	6.41.149.234.162.171.101	barium_swallow_or_cine-esophogram
barium_enema	6.41.149.234.162.171.104	barium_enema
barium_swallow_or_cine esophogram	6.41.149.234.162.171.101	barium_swallow_or_cine-esophogram
barium_swallow_or_cine-esophogram	6.41.149.234.162.171.101	barium_swallow_or_cine-esophogram
basic metabolic panel	6.41.144.206.152	basic_metabolic_panel
basic_metabolic_panel	6.41.144.206.152	basic_metabolic_panel
bed number	5.14.26	room
bed unit	5.14.27	unit
bed/unit	5.14.27	unit
behavior	5.39.123.151.102	behavior_review
behavior course	5.32.77.80.20.13	behavior_course
behavior_course	5.32.77.80.20.13	behavior_course
behavior_review	5.39.123.151.102	behavior_review
behavioral	5.34.79.103.64.50	psychiatric_family_history
belief	5.34.78.99	religious_history
beliefs	5.34.78.99	religious_history
bg	6.41.144.206.152.159	blood_glucose
bimanual	6.40.139.198.137.115.54	bimanual_exam
bimanual exam	6.40.139.198.137.115.54	bimanual_exam
bimanual examination	6.40.139.198.137.115.54	bimanual_exam
bimanual_exam	6.40.139.198.137.115.54	bimanual_exam
biopsies	6.41.153	pathologic_data
biopsies and/or histopathological studies	6.41.153	pathologic_data
biopsies consistent with malignant neoplastic disorders	6.41.144.216	biopsies_consistent_with_malignant_neoplastic_disorders
biopsies_consistent_with_malignant_neoplastic_disorders	6.41.144.216	biopsies_consistent_with_malignant_neoplastic_disorders
biopsy	6.41.153	pathologic_data
biopsy and or histopathological study	6.41.153	pathologic_data
biopsy consistent malignant neoplastic disorder	6.41.144.216	biopsies_consistent_with_malignant_neoplastic_disorders
biopsy consistent with malignant neoplastic disorder	6.41.144.216	biopsies_consistent_with_malignant_neoplastic_disorders
biopsy histopathological study	6.41.153	pathologic_data
biopsy nervous system	6.41.153.246	biopsy_nervous_system
biopsy_nervous_system	6.41.153.246	biopsy_nervous_system
birth data	5.25	birth_history
birth date	5.16.35.34	date_of_birth
birth defect	5.34.79.103.55	birth_defect_family_history
birth defect	5.35.96	congenital_disease_history
birth defect family history	5.34.79.103.55	birth_defect_family_history
birth defects	5.34.79.103.55	birth_defect_family_history
birth defects	5.35.96	congenital_disease_history
birth head circumference	5.25.56	birth_headcircumference
birth headcircumference	5.25.56	birth_headcircumference
birth history	5.25	birth_history
birth length	5.25.55	birth_length
birth time	5.16.36.53	time_of_birth
birth weight	5.25.54	birth_weight
birth wt	5.25.54	birth_weight
birth_defect_family_history	5.34.79.103.55	birth_defect_family_history
birth_headcircumference	5.25.56	birth_headcircumference
birth_history	5.25	birth_history
birth_length	5.25.55	birth_length
birth_weight	5.25.54	birth_weight
birthdate	5.16.35.34	date_of_birth
bleeding disorder	5.39.117.138	coagulation_history
bleeding disorders	5.39.117.138	coagulation_history
bleeding family history	5.34.79.103.59.47	coagulation_disorders_family_history
bleeding history	5.34.79.103.59.47	coagulation_disorders_family_history
bleeding history	5.39.117.138	coagulation_history
bleeding tendency	5.39.117.138	coagulation_history
blood glucose	6.41.144.206.152.159	blood_glucose
blood pressure	6.40.136.176	blood_pressure
blood product	5.35.85	blood_products
blood product administration history	5.35.85	blood_products
blood products	5.35.85	blood_products
blood products administration history	5.35.85	blood_products
blood type	5.35.99	blood_type
blood vessel biopsy	6.41.153.256	blood_vessel_biopsy
blood_glucose	6.41.144.206.152.159	blood_glucose
blood_pressure	6.40.136.176	blood_pressure
blood_products	5.35.85	blood_products
blood_type	5.35.99	blood_type
blood_vessel_biopsy	6.41.153.256	blood_vessel_biopsy
bm biopsy	6.41.153.269.177	bone_marrow_biopsy
bmbx	6.41.153.269.177	bone_marrow_biopsy
bmi	6.40.136.179	body_mass_index
bmp	6.41.144.206.152	basic_metabolic_panel
body length	6.40.136.174	length
body mass index	6.40.136.179	body_mass_index
body surface area	6.40.136.181	body_surface_area
body_mass_index	6.40.136.179	body_mass_index
body_surface_area	6.40.136.181	body_surface_area
bone biopsy	6.41.153.271.182	bone_biopsy
bone density	5.36.103.119	osteoporosis_screen
bone marrow aspirate and biopsy routine studies	6.41.153.269.177.191	bone_marrow_aspirate_and_biopsy_routine_studies
bone marrow aspirate and biopsy routine study	6.41.153.269.177.191	bone_marrow_aspirate_and_biopsy_routine_studies
bone marrow aspirate biopsy routine study	6.41.153.269.177.191	bone_marrow_aspirate_and_biopsy_routine_studies
bone marrow biopsy	6.41.153.269.177	bone_marrow_biopsy
bone marrow microbiological studies	6.41.153.269.177.192	bone_marrow_microbiological_studies
bone marrow microbiological study	6.41.153.269.177.192	bone_marrow_microbiological_studies
bone marrow special studies	6.41.153.269.177.193	bone_marrow_special_studies
bone marrow special study	6.41.153.269.177.193	bone_marrow_special_studies
bone mineral density screen	5.36.103.119	osteoporosis_screen
bone radioisotope scan	6.41.149.234.163.188	bone_radioisotope_scan
bone_biopsy	6.41.153.271.182	bone_biopsy
bone_marrow_aspirate_and_biopsy_routine_studies	6.41.153.269.177.191	bone_marrow_aspirate_and_biopsy_routine_studies
bone_marrow_biopsy	6.41.153.269.177	bone_marrow_biopsy
bone_marrow_microbiological_studies	6.41.153.269.177.192	bone_marrow_microbiological_studies
bone_marrow_special_studies	6.41.153.269.177.193	bone_marrow_special_studies
bone_radioisotope_scan	6.41.149.234.163.188	bone_radioisotope_scan
bony thorax	6.40.139.195.130.106	bony_thorax
bony_thorax	6.40.139.195.130.106	bony_thorax
bowel habit	5.39.121.145	bowel_habits
bowel habits	5.39.121.145	bowel_habits
bowel_habits	5.39.121.145	bowel_habits
bp	6.40.136.176	blood_pressure
brain biopsy	6.41.153.246.170	brain_biopsy
brain radioisotope scan	6.41.149.234.163.182	brain_radioisotope_scan
brain_biopsy	6.41.153.246.170	brain_biopsy
brain_radioisotope_scan	6.41.149.234.163.182	brain_radioisotope_scan
breast	6.40.139.195.131	breast_exam
breast	13.51.157.288.195	breast_plan
breast	5.39.120.142	breast_review
breast biopsy aspirate	6.41.153.248	breast_biopsy_aspirate
breast cancer screening	5.36.103.116.83	breast_cancer_screening
breast disease history and symptom	5.39.120.142	breast_review
breast disease history symptom	5.39.120.142	breast_review
breast diseases history and symptoms	5.39.120.142	breast_review
breast exam	6.40.139.195.131	breast_exam
breast examination	6.40.139.195.131	breast_exam
breast history	5.35.91.109.82	breast_history
breast plan	13.51.157.288.195	breast_plan
breast_biopsy_aspirate	6.41.153.248	breast_biopsy_aspirate
breast_cancer_screening	5.36.103.116.83	breast_cancer_screening
breast_exam	6.40.139.195.131	breast_exam
breast_history	5.35.91.109.82	breast_history
breast_plan	13.51.157.288.195	breast_plan
breast_review	5.39.120.142	breast_review
breasts	6.40.139.195.131	breast_exam
breasts	13.51.157.288.195	breast_plan
breasts	5.39.120.142	breast_review
breathe pattern	6.40.139.195.128	pulmonary_exam
breathe status	5.32.77.87	pulmonary_course
breathe status	6.40.139.195.128	pulmonary_exam
breathe status	13.51.157.296	pulmonary_plan
breathe status	5.39.132	pulmonary_review
breathing pattern	6.40.139.195.128	pulmonary_exam
breathing status	5.32.77.87	pulmonary_course
breathing status	6.40.139.195.128	pulmonary_exam
breathing status	13.51.157.296	pulmonary_plan
breathing status	5.39.132	pulmonary_review
brief history	5.28.59	brief_history
brief hospital course	5.32	hospital_course
brief medical history	5.35	past_medical_history
brief operative note	2.9.6	brief_operative_note
brief resume of hospital course	5.32	hospital_course
brief_history	5.28.59	brief_history
brief_operative_note	2.9.6	brief_operative_note
bro	5.34.78.94.42.28	brother
bro	5.34.79.102.51.39	brother_medical_history
bronchial aspirate	6.41.153.247.174	bronchial_aspirates
bronchial aspirates	6.41.153.247.174	bronchial_aspirates
bronchial washings brush biopsy	6.41.153.247.174	bronchial_aspirates
bronchial washings or brush biopsy	6.41.153.247.174	bronchial_aspirates
bronchial_aspirates	6.41.153.247.174	bronchial_aspirates
bronchoscopy	6.41.150.237.165	bronchoscopy
bronchoscopy bronchial alveolar lavage	6.41.150.237.165	bronchoscopy
bronchoscopy or bronchial alveolar lavage	6.41.150.237.165	bronchoscopy
bronchoscopy or bronchial-alveolar lavage	6.41.150.237.165	bronchoscopy
brother	5.34.78.94.42.28	brother
